objectID;food_type;stars_count;reviews_count;neighborhood;phone_number;price_range;dining_style
87070;Japanese;4.1;357;Polaris;(614) 436-3705;$30 and under;Casual Dining
60457;Fondue;4.4;862;Columbus;(614) 476-5500;$31 to $50;Casual Elegant
138628;American;4.4;91;Grandview Heights;(614) 223-1288;$30 and under;Casual Dining
103969;American;4.3;209;Clintonville;(614) 262-4416;$30 and under;Casual Elegant
71200;Tapas / Small Plates;4.5;474;Columbus;(614) 228-9041;$30 and under;Casual Dining
118339;Contemporary American;4.7;121;Delaware;(740) 417-4074;$31 to $50;Casual Elegant
96487;International;4.3;485;Columbus;(614) 486-1114 e;$30 and under;Casual Dining
76306;American;3.8;154;Columbus;(614) 416-8419;$31 to $50;Casual Elegant
117079;American;4.4;215;Columbus;(614) 291-5000;$30 and under;Casual Dining
35398;Steakhouse;4.6;862;Dublin;(614) 792-3466;$31 to $50;Fine Dining
116554;American;4.4;169;Westerville;(614) 523-4330;$30 and under;Casual Elegant
110191;Asian;3.6;55;Short North - Arena District;(614) 586-0077;$30 and under;Casual Dining
13969;Asian;4.4;826;Polaris;(614) 985-9667;$30 and under;Casual Dining
83425;Italian;4.4;426;Upper Arlington;(614) 459-7000;$30 and under;Casual Elegant
110248;Italian;4.0;204;Columbus;(614) 220-9327;$30 and under;Casual Elegant
150070;Italian;4.2;128;Northwest Columbus;(614) 791-1245;$30 and under;Casual Dining
80746;Seafood;4.2;891;Columbus;(614) 586-4585;$30 and under;Casual Elegant
109345;American;3.6;60;Columbus;(614) 247-2110;$30 and under;Casual Elegant
34675;Japanese;4.0;571;Polaris;(614) 781-1776;$30 and under;Casual Elegant
91342;Italian;4.4;131;German Village;(614) 224-8669;$30 and under;Casual Dining
22051;Contemporary American;4.6;1786;Worthington;(614) 885-3663;$30 and under;Casual Elegant
62740;Italian;4.3;632;Dublin;(614) 889-6100;$30 and under;Casual Elegant
150088;Italian;4.4;149;Columbus;(614) 291-8210;$30 and under;Casual Dining
111232;Contemporary American;4.5;176;Gahanna;(614) 536-0411;$30 and under;Casual Elegant
10858;Contemporary American;4.6;1471;German Village;(614) 464-0575;$30 and under;Fine Dining
100192;Gastro Pub;4.5;1656;Short North - Arena District;(614) 227-0151;$30 and under;Casual Dining
37141;Japanese;4.7;326;Dublin;(614) 792-2500;$30 and under;Casual Dining
87946;Contemporary American;4.5;125;Columbus;(614) 421-2233;$30 and under;Casual Dining
53386;Italian;4.1;1143;Columbus;(614) 621-3287;$30 and under;Casual Dining
38140;Steakhouse;4.7;115;Athens;(740) 593-6661;$30 and under;Casual Elegant
45820;Mexican;4.2;434;Columbus;(614) 781-1139;$30 and under;Casual Elegant
150073;Italian;4.2;110;Worthington;(614) 888-3881;$30 and under;Casual Dining
103948;Contemporary American;4.3;172;Worthington;(614) 436-4000;$30 and under;Casual Elegant
34678;Japanese;4.5;848;Dublin;(614) 792-2445;$30 and under;Casual Elegant
38941;American;4.5;514;Delaware;(740) 417-4373;$30 and under;Casual Dining
34684;Italian;4.8;1018;Powell;(614) 791-8100;$31 to $50;Casual Elegant
37138;Japanese;3.6;272;Reynoldsburg;(614) 864-7888;$30 and under;Casual Dining
128275;Steakhouse;4.3;72;McAllen;(956) 661-9100;$31 to $50;Casual Elegant
92449;Steakhouse;4.6;182;Corpus Christi;(361) 884-1221;$31 to $50;Fine Dining
110227;Contemporary American;4.2;95;McAllen;(956) 994-8331;$30 and under;Casual Elegant
116863;Contemporary American;4.6;208;McAllen;(956) 627-6304;$30 and under;Casual Elegant
6539;American;4.5;766;Deep Ellum;(214) 752-7500;$50 and over;Fine Dining
5526;Seafood;4.3;638;North Dallas / Addison;(972) 774-9518;$30 and under;Casual Dining
4294;Steak;4.4;821;Downtown;(214) 744-3287;$31 to $50;Casual Elegant
57349;Italian;4.1;259;Uptown;(214) 521-3009;$30 and under;Casual Dining
5084;Sushi;4.3;188;Plano;(972) 943-9288;$30 and under;Casual Elegant
145081;Global, International;4.7;69;Colleyville;(817) 503-8440;$30 and under;Casual Dining
5443;Southwest;4.3;2008;Downtown;(214) 580-7000;$50 and over;Casual Elegant
15514;Italian;4.3;694;Knox / Henderson;(214) 780-1880;$30 and under;Casual Dining
150856;Contemporary American;4.2;42;Uptown;(214) 239-1990;$30 and under;Casual Dining
14941;American;4.5;2908;Uptown;(214) 922-4848;$50 and over;Fine Dining
1959;Steak;4.6;3980;NW Dallas / Love Field Area;(214) 366-2000;$50 and over;Fine Dining
3247;American;4.6;1946;Uptown;(214) 559-3111;$50 and over;Fine Dining
5567;French;4.5;688;North Dallas / Addison;(972) 267-5700;$30 and under;Casual Elegant
145099;American;4.3;11;Uptown;(214) 871-2097;$30 and under;Casual Elegant
149758;Mexican;4.4;25;Uptown;(214) 922-7080;$30 and under;Casual Dining
1062;American;4.2;955;Uptown;(214) 999-1222;$30 and under;Casual Dining
4957;Steak;4.1;879;Grapevine;(817) 329-6995;$50 and over;Fine Dining
4332;Contemporary French / American;4.8;1733;Downtown;(214) 742-8200;$50 and over;Fine Dining
4092;Steakhouse;4.6;1529;Downtown;(214) 740-4001;$31 to $50;Fine Dining
107437;Fondue;4.1;611;North Dallas / Addison;(972) 239-6358;$50 and over;Fine Dining
24559;French;4.0;727;Uptown;(214) 528-0032;$50 and over;Fine Dining
1896;Steak;4.2;639;Downtown;(214) 761-7470;$50 and over;Fine Dining
2059;Steakhouse;4.6;1298;Uptown;(214) 303-0500;$50 and over;Fine Dining
72721;Steakhouse;4.6;698;Downtown;(214) 652-4800;$31 to $50;Fine Dining
151546;Italian;4.5;91;Park Cities;(214) 521-1800;$31 to $50;Casual Elegant
22813;European;4.3;651;North Dallas / Addison;(972) 702-9463;$30 and under;Casual Dining
117067;Mexican;3.5;3;Mansfield;(817) 225-4140;$30 and under;Casual Dining
144949;Brazilian Steakhouse;4.3;244;Fort Worth Downtown;(817) 862-9800;$31 to $50;Casual Elegant
66457;Seafood;4.7;1245;Plano;(972) 398-2221;$50 and over;Fine Dining
4152;Steak;4.7;2127;Plano;(972) 596-7100;$31 to $50;Casual Dining
103894;Steakhouse;4.4;341;Denton;(940) 442-6834;$31 to $50;Fine Dining
17014;Steakhouse;4.4;1211;Frisco;(972) 335-3066;$31 to $50;Fine Dining
6014;Contemporary American;4.6;1260;Uptown;(214) 252-9604;$30 and under;Casual Elegant
103900;American;4.7;589;Downtown;(214) 200-4302;$30 and under;Casual Elegant
7349;Steak;4.6;179;Park Cities;(214) 443-9339;$31 to $50;Fine Dining
115885;Japanese;4.7;44;Fort Worth Downtown;(817) 923-2695;$31 to $50;Casual Dining
16705;Steakhouse;4.1;662;Plano;(972) 943-3372;$31 to $50;Fine Dining
136153;Italian;4.0;19;Arlington;(817) 557-0321;$30 and under;Casual Dining
63364;American;4.3;157;Downtown;(214) 220-0403;$31 to $50;Casual Elegant
111808;American;4.3;976;Uptown;(214) 306-5597;$30 and under;Casual Elegant
11932;Global, International;3.9;77;DFW Corridor;(972) 973-1244;$31 to $50;Casual Elegant
3813;Steak;4.5;4447;North Dallas / Addison;(972) 267-1776;$31 to $50;Fine Dining
106792;Contemporary American;4.3;456;Downtown;(214) 261-4500;$30 and under;Casual Dining
115150;Sushi;4.0;61;Turtle Creek / Oak Lawn;(214) 468-4587;$30 and under;Casual Dining
114826;Contemporary American;4.5;423;Fort Worth Cultural District & TCU;(817) 887-9995;$30 and under;Casual Dining
79192;Steakhouse;4.6;699;Richardson;(972) 664-9975;$31 to $50;Casual Elegant
140854;American;4.4;475;North Dallas / Addison;(972) 789-9558;$30 and under;Casual Elegant
5775;American;4.6;774;Roanoke;(817) 430-8185;$31 to $50;Casual Elegant
116560;Contemporary American;4.7;506;Knox / Henderson;(214) 370-9426;$31 to $50;Casual Elegant
114550;American;3.9;107;Plano;(469) 467-3393;$30 and under;Casual Dining
139639;American;4.0;2;Uptown;(214) 880-0189;$30 and under;Casual Dining
79417;Contemporary American;4.6;974;Design District;(214) 741-2629;$31 to $50;Casual Elegant
40738;Steak;4.3;731;Downtown;(214) 736-7300;$31 to $50;Fine Dining
103876;Contemporary American;4.3;968;Uptown;(214) 855-5275;$30 and under;Casual Elegant
50890;Tapas / Small Plates;4.3;518;McKinney;(972) 542-9996;$31 to $50;Casual Dining
114019;American;4.0;31;Arlington;(817) 640-8553;$30 and under;Casual Dining
111103;Creole / Cajun / Southern;4.5;243;Frisco;(972) 377-6652;$31 to $50;Casual Elegant
98527;Gastro Pub;4.0;124;Uptown;(214) 397-4111;$30 and under;Casual Dining
5175;Contemporary American;4.5;1593;Knox / Henderson;(214) 827-2927;$31 to $50;Casual Elegant
75541;Mexican;4.5;422;North Dallas / Addison;(469) 726-4390;$30 and under;Casual Elegant
111940;Latin American;4.3;67;Plano;(972) 943-0984;$30 and under;Casual Dining
105559;Contemporary European;4.4;217;Uptown;(214) 953-0917;$30 and under;Casual Dining
24916;Fondue;4.4;1327;Fort Worth Downtown;(817) 348-0633;$31 to $50;Casual Elegant
140143;Contemporary American;3.9;14;Arlington;(817) 640-4711;$30 and under;Casual Dining
104986;American;4.1;153;North Dallas / Addison;(214) 306-7444;$30 and under;Casual Elegant
101068;American;4.4;246;Preston Hollow;(214) 368-1101;$30 and under;Casual Dining
39355;Brazilian Steakhouse;4.7;451;North Dallas / Addison;(972) 385-1000;$31 to $50;Casual Elegant
87121;Japanese;4.1;642;Plano;(469) 467-2242;$30 and under;Casual Dining
12637;Sushi;4.2;690;Victory Park;(214) 871-8883;$31 to $50;Casual Elegant
48736;American;4.6;3394;Plano;(972) 312-8852;$30 and under;Casual Elegant
68527;Brazilian Steakhouse;4.2;944;North Dallas / Addison;(972) 733-1110;$31 to $50;Fine Dining
106519;Contemporary American;4.4;188;Southlake;(817) 488-6280;$30 and under;Casual Elegant
114391;Mexican;4.1;37;North Dallas / Addison;(972) 702-6426;$30 and under;Casual Elegant
74404;Contemporary American;4.1;846;Design District;(214) 712-9700;$31 to $50;Fine Dining
50413;Italian;4.6;344;Uptown;(214) 871-4955;$31 to $50;Casual Elegant
95089;American;4.2;205;Plano;(972) 473-7252;$30 and under;Casual Dining
95425;Italian;4.4;194;Park Cities;(214) 351-1100;$31 to $50;Fine Dining
106321;European;4.7;15;Garland;(214) 541-9665;$30 and under;Casual Dining
55972;Italian;4.6;489;Arlington;(817) 265-9174;$31 to $50;Casual Elegant
71629;Mexican;4.3;351;Downtown;(214) 741-9453;$30 and under;Casual Elegant
107092;French;4.6;365;Park Cities;(469) 730-2937;$31 to $50;Casual Elegant
58471;Japanese;4.6;596;Downtown;(214) 220-2828;$31 to $50;Casual Elegant
35530;American;4.5;685;Park Cities;(214) 265-7389;$31 to $50;Casual Dining
62146;Japanese;4.5;221;North Dallas / Addison;(972) 934-8150;$30 and under;Casual Dining
68245;Japanese;4.3;99;Southlake;(817) 310-3191;$30 and under;Casual Dining
102049;Barbecue;4.7;467;Plano;(972) 473-7478;$30 and under;Casual Elegant
95206;Mexican;4.3;124;North Dallas / Addison;(972) 866-8900;$30 and under;Casual Elegant
39364;Brazilian Steakhouse;4.6;350;Uptown;(214) 720-1414;$31 to $50;Casual Elegant
110911;Japanese;4.2;55;Plano;(469) 467-7400;$30 and under;Casual Dining
113275;Mediterranean;4.0;266;Trinity Groves;(469) 458-2233;$30 and under;Casual Elegant
75358;American;4.2;280;Downtown;(214) 928-7700;$30 and under;Casual Elegant
58930;Mexican;4.6;736;Uptown;(214) 252-0200;$30 and under;Casual Dining
79933;Middle Eastern;4.4;154;Uptown;(214) 599-0707;$30 and under;Casual Dining
96604;Southwest;4.3;1274;Uptown;(214) 550-6966;$30 and under;Casual Elegant
148828;Contemporary French / American;4.3;172;Uptown;(214) 880-9940;$30 and under;Casual Elegant
76141;Chinese;4.2;143;Uptown;(214) 954-9558;$30 and under;Casual Elegant
66445;Seafood;4.5;576;North Dallas / Addison;(972) 386-0122;$30 and under;Casual Elegant
53425;Italian;3.8;458;Downtown;(214) 361-8462;$30 and under;Casual Dining
71311;Contemporary American;4.4;994;Grapevine;(817) 421-0200;$30 and under;Casual Dining
56605;Contemporary American;4.0;164;Downtown;(214) 267-4815;$30 and under;Casual Elegant
15091;Italian;4.4;2521;Plano;(972) 781-0776;$30 and under;Casual Dining
3052;American;4.1;613;Uptown;(214) 744-0820;$30 and under;Casual Elegant
57604;Contemporary American;4.7;245;Downtown;(214) 573-5800;$30 and under;Fine Dining
57838;American;4.5;641;Uptown;(214) 782-9807;$30 and under;Casual Elegant
87097;Japanese;4.3;630;North Dallas / Addison;(972) 387-4404;$30 and under;Casual Dining
64330;Contemporary American;3.9;65;Uptown;(214) 954-0486;$30 and under;Casual Dining
14092;Contemporary American;4.3;931;Downtown;(214) 744-3474;$30 and under;Fine Dining
30925;Southern;3.7;229;Fort Worth Downtown;(817) 350-4106;$30 and under;Home Style
53434;Italian;3.8;516;Southlake;(817) 749-6262;$30 and under;Casual Dining
60337;Sushi;4.7;324;Frisco;(214) 618-9888;$30 and under;Casual Elegant
50821;Italian;4.6;963;North Dallas / Addison;(972) 661-9380;$30 and under;Casual Elegant
72727;Contemporary American;4.2;200;Downtown;(214) 652-4810;$30 and under;Casual Elegant
47983;American;4.5;1316;Plano;(469) 366-3660;$30 and under;Casual Elegant
34510;Steak;4.3;319;North Dallas / Addison;(972) 458-7888;$30 and under;Casual Elegant
40117;Seafood;4.4;705;Plano;(972) 473-6263;$31 to $50;Fine Dining
36232;Mediterranean;4.6;233;Plano;(972) 943-8090;$30 and under;Casual Elegant
43753;American;4.4;1340;Design District;(214) 628-7900;$30 and under;Casual Elegant
151336;Scandinavian;4.3;52;Steamboat Springs;(970) 871-5150;$50 and over;Fine Dining
28852;Continental;4.5;2204;Downtown / LoDo;(303) 996-9985;$30 and under;Casual Elegant
28843;Mediterranean;4.3;156;Basalt;(970) 927-3342;$30 and under;Casual Elegant
104002;Japanese;4.5;112;Central;(303) 329-3366;$30 and under;Casual Dining
118978;American;4.2;240;Central;(720) 459-8273;$30 and under;Casual Elegant
111205;Gastro Pub;4.3;157;Boulder;(303) 444-9110;$31 to $50;Casual Dining
108283;Tapas / Small Plates;3.9;239;Centennial;(303) 488-0101;$30 and under;Casual Dining
26170;Japanese;4.7;789;Wash Park;(303) 777-0691;$31 to $50;Casual Dining
30541;American;4.4;1369;Baker;(303) 777-3505;$31 to $50;Casual Elegant
16057;American;4.5;1187;Cherry Creek;(303) 831-8800;$30 and under;Casual Elegant
50350;American;4.2;265;Winter Park;(970) 726-5332;$30 and under;Casual Dining
54631;Global, International;4.3;827;Breckenridge;(970) 547-9191;$30 and under;Casual Elegant
48472;Cajun;4.6;285;Uptown;(720) 266-5300;$30 and under;Casual Dining
94621;Sushi;4.3;219;Downtown / LoDo;(720) 354-5058;$30 and under;Casual Dining
145798;Contemporary American;4.5;13;Steamboat Springs;(970) 879-1265;$50 and over;Casual Elegant
16060;Italian;4.6;1368;Wash Park;(303) 777-6443;$30 and under;Casual Dining
28291;Contemporary American;4.2;334;Cherry Creek;(720) 974-1300;$30 and under;Casual Elegant
90778;Southwest;4.4;516;Westminster;(303) 410-5813;$30 and under;Casual Dining
46093;Indian;4.4;145;Lakewood;(303) 937-9777;$30 and under;Casual Dining
24268;Sushi;4.3;322;Durango;(970) 247-5533;$30 and under;Casual Dining
17269;Steakhouse;4.2;2008;Downtown / LoDo;(303) 312-3107;$50 and over;Casual Elegant
144592;Southern;4.5;190;Steamboat Springs;(970) 761-2693;$30 and under;Casual Dining
11176;French;4.6;1991;Boulder;(303) 652-0777;$30 and under;Casual Elegant
45892;Continental;4.5;1200;Estes Park;(970) 586-9344;$30 and under;Casual Dining
23284;Italian;4.4;879;Highlands;(303) 561-0234 e;$30 and under;Casual Elegant
1467;American;4.5;546;Avon;(970) 754-3463;$50 and over;Fine Dining
8107;Italian;4.5;798;Breckenridge;(970) 453-6974;$30 and under;Casual Elegant
49477;Contemporary American;4.3;165;Vail;(970) 476-5300;$30 and under;Casual Dining
150205;American;4.6;430;Downtown / LoDo;(720) 460-3733;$30 and under;Casual Elegant
12373;Mexican / Southwestern;4.3;123;Colorado Springs;(719) 636-2311;$30 and under;Casual Dining
105823;Japanese;4.5;14;Wash Park;(303) 777-0826;$50 and over;Casual Elegant
4544;Contemporary American;4.4;823;Vail;(970) 476-6836;$31 to $50;Casual Elegant
2879;Contemporary American;4.3;244;Broomfield;(720) 587-3025;$30 and under;Casual Elegant
88474;American;4.7;222;Keystone;(800) 354-4386;$31 to $50;Fine Dining
5178;American;4.2;764;Broomfield;(720) 887-6900;$30 and under;Casual Elegant
149308;Tapas / Small Plates;4.2;82;Central;(303) 832-7027;$30 and under;Casual Elegant
95374;American;4.8;297;Colorado Springs;(866) 381-8432;$50 and over;Casual Elegant
147433;Contemporary American;4.0;173;Downtown / LoDo;(720) 889-2128;$31 to $50;Casual Elegant
151066;Contemporary American;4.4;67;River North (Denver);(720) 432-3163;$31 to $50;Fine Dining
3730;Steakhouse;4.5;4191;Morrison;(303) 697-4771;$31 to $50;Casual Elegant
3981;Provencal;4.4;651;Boulder;(303) 443-7766;$30 and under;Casual Elegant
4155;Steakhouse;4.3;1091;Boulder;(303) 443-1188;$31 to $50;Casual Elegant
4563;American;4.4;1102;Boulder;(303) 443-9505;$30 and under;Casual Dining
71968;Contemporary American;4.6;241;Vail;(970) 754-4275;$50 and over;Fine Dining
88492;Fondue;3.9;235;Keystone;(970) 496-4386;$50 and over;Casual Dining
2636;American;4.5;1716;Vail;(970) 476-0125;$31 to $50;Casual Elegant
4876;Steakhouse;4.4;2660;Downtown / LoDo;(303) 296-0800;$31 to $50;Casual Elegant
151342;Italian;4.7;37;Steamboat Springs;(970) 871-5150;$50 and over;Fine Dining
1357;American;4.3;101;Beaver Creek;(970) 754-5456;$50 and over;Casual Elegant
17158;American;3.9;1465;Downtown / LoDo;(720) 227-9984;$30 and under;Casual Dining
148765;Mexican;4.5;46;Fort Collins;(970) 224-5428;$30 and under;Casual Dining
140125;Gastro Pub;4.2;227;Downtown / LoDo;(303) 623-0316;$30 and under;Casual Elegant
145435;American;4.4;65;Durango;(970) 259-5555;$30 and under;Casual Elegant
76252;Belgian;4.4;255;Beaver Creek;(970) 949-7728;$50 and over;Fine Dining
22714;Steak;4.5;724;Breckenridge;(970) 453-9948;$50 and over;Fine Dining
3463;Steak;4.0;671;Downtown / LoDo;(303) 297-3111;$30 and under;Casual Dining
3086;French American;4.3;58;Vail;(970) 479-0175;$31 to $50;Casual Dining
255;Contemporary American;4.5;498;Vail;(970) 754-8050;$30 and under;Casual Elegant
88480;Contemporary European;4.6;314;Keystone;(970) 496-4386;$50 and over;Fine Dining
6832;American;4.0;664;Tech Center / Greenwood Village;(303) 770-4741;$30 and under;Casual Elegant
7398;Contemporary American;4.6;1357;Downtown / LoDo;(303) 534-1455;$30 and under;Casual Elegant
2709;Steakhouse;4.6;2010;Downtown / LoDo;(303) 539-2500;$50 and over;Fine Dining
3116;Steakhouse;4.2;993;Downtown / LoDo;(303) 825-3353;$50 and over;Fine Dining
151339;American;4.1;35;Steamboat Springs;(970) 871-5150;$31 to $50;Casual Dining
151966;Italian;4.1;174;Cherry Creek;(303) 366-1315;$31 to $50;Fine Dining
108670;Hibachi;3.6;44;Centennial;(303) 662-8111;$30 and under;Casual Elegant
110050;Brewery;3.9;12;Colorado Springs;(719) 635-2800;$31 to $50;Casual Dining
15295;American;4.2;454;Loveland;(970) 613-9333;$30 and under;Casual Dining
6946;Japanese;4.9;97;Aspen;(970) 544-6628;$50 and over;Casual Elegant
88465;American;4.8;401;Keystone;(800) 354-4386;$50 and over;Fine Dining
101971;Continental;4.8;445;Colorado Springs;(719) 471-2905;$50 and over;Fine Dining
3982;Contemporary American;4.5;1385;Uptown;(303) 388-8429;$30 and under;Casual Elegant
4643;Contemporary American;4.5;363;Aspen;(970) 920-6330;$50 and over;Casual Dining
2676;Steak;4.0;1353;Downtown / LoDo;(303) 571-0011;$31 to $50;Casual Elegant
2535;French;4.6;3774;Downtown / LoDo;(303) 825-3232;$30 and under;Casual Elegant
5316;American;4.6;1102;Breckenridge;(970) 453-1148;$31 to $50;Fine Dining
147844;Seafood;3.8;140;Englewood;(303) 792-0285;$30 and under;Casual Dining
141001;American;4.3;241;Downtown / LoDo;(720) 726-4800;$30 and under;Casual Dining
28147;Contemporary American;4.5;594;Telluride;(970) 728-9507;$50 and over;Fine Dining
108781;American;4.2;187;Highlands;(303) 433-9734;$30 and under;Casual Dining
3151;Steakhouse;4.5;3086;Cherry Creek;(303) 399-5353;$30 and under;Casual Elegant
10252;Comfort Food;4.8;3481;Central;(303) 831-1962;$30 and under;Casual Elegant
12613;Contemporary American;3.9;585;Downtown / LoDo;(303) 486-4434;$31 to $50;Casual Dining
13351;Steak;4.3;1477;Downtown / LoDo;(303) 825-7256;$50 and over;Fine Dining
4760;French;4.7;1612;Boulder;(303) 998-1010;$30 and under;Casual Dining
26608;International;4.6;96;Aspen;(970) 544-7814;$31 to $50;Casual Dining
15130;Italian;4.3;3712;Englewood;(303) 858-1405;$30 and under;Casual Dining
15421;French;4.6;284;Vail;(970) 476-3696;$31 to $50;Casual Elegant
3211;Comfort Food;4.2;873;Cherry Creek;(303) 253-3000;$30 and under;Home Style
16204;Italian;4.4;1039;Cherry Creek;(303) 388-0282;$30 and under;Casual Dining
27427;French;4.2;171;Aspen;(970) 920-6334;$30 and under;Casual Dining
144589;Wine Bar;3.9;53;Parker;(303) 736-8463;$30 and under;Casual Elegant
2635;American;4.7;2368;Boulder;(303) 442-4640;$50 and over;Fine Dining
5039;Italian;4.3;842;Cherry Creek;(303) 393-6917;$30 and under;Casual Elegant
103636;Low Country;4.4;162;Wash Park;(303) 325-1447;$30 and under;Casual Elegant
7624;Contemporary American;4.6;1477;Boulder;(303) 444-5500;$31 to $50;Casual Elegant
7021;Seafood;4.1;1442;Wash Park;(303) 722-7456;$30 and under;Casual Dining
6890;Steakhouse;4.3;875;Aurora;(303) 751-2112;$31 to $50;Casual Dining
29989;Steakhouse;4.3;207;Aspen;(970) 925-2838;$50 and over;Casual Elegant
4413;Italian;4.5;1221;Cherry Creek;(720) 941-7700;$30 and under;Casual Elegant
2708;Mediterranean;4.6;1776;Tech Center / Greenwood Village;(303) 741-1110;$30 and under;Casual Elegant
2643;Contemporary French / American;4.4;908;Vail;(970) 476-4403;$31 to $50;Fine Dining
7568;Italian;4.6;152;Edwards;(970) 926-2111;$31 to $50;Casual Elegant
7251;Italian;4.5;2385;Castle Rock;(303) 688-2323;$31 to $50;Fine Dining
5595;Italian;4.3;1419;Downtown / LoDo;(303) 534-2222;$30 and under;Fine Dining
3468;Italian;4.4;1315;Central;(303) 832-6600;$31 to $50;Casual Elegant
1692;Mexican / Southwestern;4.3;1937;Downtown / LoDo;(720) 946-1433;$31 to $50;Casual Elegant
140893;Global, International;4.7;294;Central;(303) 355-9463;$30 and under;Casual Elegant
4691;American;4.2;297;Broomfield;(303) 464-3330;$30 and under;Casual Elegant
3462;Contemporary American;4.5;638;Downtown / LoDo;(303) 297-3111;$31 to $50;Casual Elegant
18181;Steak;3.5;28;Vail;(970) 477-0555;$31 to $50;Casual Dining
